y,H/D,Esr/Eo
0.085,1.482,2
0.089,1.435,2
0.092,1.389,2
0.099,1.343,2
0.106,1.297,2
0.115,1.252,2
0.124,1.206,2
0.133,1.161,2
0.144,1.116,2
0.155,1.071,2
0.167,1.026,2
0.179,0.981,2
0.192,0.936,2
0.205,0.892,2
0.220,0.847,2
0.236,0.804,2
0.252,0.760,2
0.273,0.719,2
0.293,0.677,2
0.318,0.638,2
0.344,0.600,2
0.377,0.567,2
0.409,0.534,2
0.442,0.500,2
0.475,0.468,2
0.510,0.438,2
0.545,0.407,2
0.585,0.383,2
0.625,0.359,2
0.667,0.339,2
0.703,0.311,2
0.737,0.279,2
0.770,0.247,2
0.804,0.215,2
0.837,0.183,2
0.871,0.150,2
0.906,0.120,2
0.941,0.090,2
0.977,0.060,2
1.012,0.030,2
1.047,0.000,2
0.072,1.481,5
0.072,1.433,5
0.071,1.385,5
0.073,1.336,5
0.075,1.288,5
0.077,1.240,5
0.079,1.192,5
0.081,1.143,5
0.082,1.095,5
0.084,1.047,5
0.089,0.999,5
0.097,0.951,5
0.105,0.904,5
0.118,0.857,5
0.132,0.811,5
0.147,0.765,5
0.163,0.720,5
0.182,0.675,5
0.205,0.633,5
0.232,0.593,5
0.258,0.553,5
0.290,0.516,5
0.325,0.483,5
0.360,0.450,5
0.396,0.418,5
0.436,0.391,5
0.476,0.364,5
0.517,0.339,5
0.559,0.315,5
0.600,0.290,5
0.641,0.265,5
0.683,0.240,5
0.724,0.214,5
0.764,0.187,5
0.803,0.160,5
0.843,0.132,5
0.883,0.106,5
0.924,0.079,5
0.964,0.053,5
1.005,0.026,5
1.045,0.000,5
0.058,1.481,10
0.058,1.432,10
0.058,1.382,10
0.058,1.332,10
0.057,1.282,10
0.058,1.232,10
0.058,1.182,10
0.058,1.132,10
0.059,1.083,10
0.065,1.033,10
0.070,0.983,10
0.076,0.934,10
0.083,0.885,10
0.091,0.835,10
0.099,0.786,10
0.105,0.737,10
0.118,0.688,10
0.133,0.641,10
0.151,0.595,10
0.172,0.549,10
0.195,0.505,10
0.225,0.466,10
0.259,0.429,10
0.295,0.395,10
0.333,0.363,10
0.374,0.335,10
0.416,0.307,10
0.457,0.280,10
0.501,0.254,10
0.545,0.232,10
0.591,0.212,10
0.637,0.194,10
0.682,0.172,10
0.727,0.150,10
0.772,0.129,10
0.817,0.108,10
0.862,0.086,10
0.907,0.064,10
0.952,0.043,10
0.997,0.022,10
1.042,0.000,10
0.044,1.483,20
0.044,1.432,20
0.044,1.381,20
0.044,1.330,20
0.044,1.278,20
0.044,1.227,20
0.044,1.176,20
0.044,1.125,20
0.045,1.074,20
0.047,1.023,20
0.051,0.972,20
0.057,0.921,20
0.062,0.870,20
0.068,0.819,20
0.074,0.769,20
0.082,0.718,20
0.091,0.668,20
0.103,0.618,20
0.118,0.569,20
0.138,0.522,20
0.158,0.475,20
0.185,0.432,20
0.218,0.393,20
0.255,0.358,20
0.293,0.324,20
0.333,0.292,20
0.375,0.263,20
0.419,0.237,20
0.464,0.213,20
0.510,0.190,20
0.557,0.171,20
0.605,0.153,20
0.653,0.136,20
0.701,0.119,20
0.750,0.102,20
0.798,0.085,20
0.846,0.067,20
0.894,0.050,20
0.943,0.034,20
0.991,0.019,20
1.039,0.000,20
0.030,1.481,30
0.030,1.429,30
0.030,1.377,30
0.030,1.324,30
0.030,1.272,30
0.030,1.220,30
0.030,1.167,30
0.030,1.115,30
0.030,1.062,30
0.030,1.010,30
0.032,0.958,30
0.034,0.905,30
0.039,0.853,30
0.044,0.801,30
0.048,0.749,30
0.053,0.697,30
0.059,0.645,30
0.068,0.593,30
0.080,0.543,30
0.096,0.493,30
0.116,0.444,30
0.144,0.401,30
0.179,0.362,30
0.214,0.323,30
0.253,0.288,30
0.294,0.255,30
0.337,0.226,30
0.384,0.202,30
0.431,0.179,30
0.479,0.158,30
0.527,0.139,30
0.578,0.125,30
0.628,0.111,30
0.679,0.097,30
0.729,0.082,30
0.779,0.067,30
0.830,0.053,30
0.880,0.040,30
0.931,0.027,30
0.982,0.016,30
1.032,0.000,30
