y,H/D,Fi
1.048,0.644,46
1.022,0.628,46
0.996,0.612,46
0.970,0.596,46
0.943,0.581,46
0.917,0.565,46
0.891,0.549,46
0.864,0.533,46
0.838,0.518,46
0.812,0.502,46
0.785,0.486,46
0.759,0.470,46
0.733,0.454,46
0.706,0.439,46
0.680,0.423,46
0.654,0.407,46
0.627,0.391,46
0.601,0.376,46
0.575,0.360,46
0.548,0.344,46
0.522,0.329,46
0.496,0.313,46
0.469,0.298,46
0.443,0.282,46
0.416,0.266,46
0.390,0.251,46
0.363,0.235,46
0.337,0.220,46
0.311,0.203,46
0.285,0.187,46
0.259,0.171,46
0.233,0.155,46
0.207,0.139,46
0.181,0.123,46
0.154,0.107,46
0.129,0.089,46
0.104,0.071,46
0.079,0.053,46
0.054,0.036,46
0.029,0.018,46
0.004,0.000,46
1.044,0.727,44
1.018,0.709,44
0.992,0.691,44
0.966,0.673,44
0.940,0.655,44
0.914,0.637,44
0.888,0.619,44
0.862,0.601,44
0.836,0.583,44
0.809,0.565,44
0.783,0.546,44
0.757,0.528,44
0.731,0.510,44
0.705,0.492,44
0.679,0.474,44
0.653,0.456,44
0.627,0.438,44
0.600,0.420,44
0.574,0.402,44
0.548,0.384,44
0.522,0.366,44
0.495,0.348,44
0.469,0.331,44
0.443,0.313,44
0.416,0.295,44
0.390,0.277,44
0.364,0.260,44
0.337,0.242,44
0.311,0.224,44
0.285,0.206,44
0.258,0.188,44
0.232,0.171,44
0.206,0.153,44
0.179,0.135,44
0.154,0.116,44
0.129,0.096,44
0.104,0.077,44
0.078,0.058,44
0.053,0.039,44
0.028,0.019,44
0.003,0.000,44
1.045,0.786,42
1.019,0.767,42
0.993,0.747,42
0.967,0.728,42
0.940,0.708,42
0.914,0.689,42
0.888,0.669,42
0.862,0.650,42
0.835,0.630,42
0.809,0.611,42
0.783,0.591,42
0.757,0.572,42
0.730,0.553,42
0.704,0.533,42
0.678,0.514,42
0.652,0.494,42
0.626,0.475,42
0.599,0.455,42
0.573,0.436,42
0.547,0.416,42
0.520,0.397,42
0.494,0.378,42
0.467,0.359,42
0.441,0.339,42
0.415,0.320,42
0.388,0.301,42
0.362,0.282,42
0.335,0.263,42
0.309,0.244,42
0.283,0.224,42
0.256,0.204,42
0.230,0.185,42
0.204,0.165,42
0.178,0.145,42
0.152,0.125,42
0.126,0.106,42
0.101,0.085,42
0.076,0.063,42
0.051,0.042,42
0.027,0.021,42
0.002,0.000,42
1.044,0.860,40
1.018,0.839,40
0.991,0.818,40
0.965,0.797,40
0.939,0.776,40
0.912,0.754,40
0.886,0.733,40
0.860,0.712,40
0.833,0.691,40
0.807,0.670,40
0.781,0.648,40
0.754,0.627,40
0.728,0.606,40
0.701,0.585,40
0.675,0.564,40
0.649,0.542,40
0.622,0.521,40
0.596,0.500,40
0.570,0.479,40
0.543,0.458,40
0.517,0.436,40
0.491,0.415,40
0.464,0.394,40
0.438,0.372,40
0.412,0.351,40
0.386,0.329,40
0.360,0.308,40
0.333,0.287,40
0.307,0.265,40
0.281,0.244,40
0.255,0.222,40
0.229,0.200,40
0.203,0.178,40
0.177,0.157,40
0.151,0.135,40
0.126,0.113,40
0.100,0.092,40
0.074,0.069,40
0.049,0.046,40
0.025,0.023,40
0.000,0.000,40
1.045,0.940,38
1.020,0.916,38
0.994,0.892,38
0.969,0.867,38
0.943,0.843,38
0.918,0.819,38
0.892,0.795,38
0.867,0.771,38
0.841,0.747,38
0.814,0.724,38
0.788,0.701,38
0.761,0.679,38
0.734,0.656,38
0.707,0.633,38
0.680,0.610,38
0.653,0.588,38
0.627,0.565,38
0.600,0.542,38
0.573,0.520,38
0.546,0.497,38
0.520,0.473,38
0.494,0.450,38
0.467,0.427,38
0.441,0.404,38
0.415,0.380,38
0.389,0.357,38
0.362,0.334,38
0.336,0.311,38
0.309,0.288,38
0.283,0.265,38
0.256,0.241,38
0.230,0.218,38
0.204,0.194,38
0.178,0.171,38
0.152,0.147,38
0.126,0.124,38
0.100,0.100,38
0.074,0.076,38
0.050,0.051,38
0.025,0.026,38
0.000,0.001,38
1.045,1.006,36
1.019,0.981,36
0.993,0.956,36
0.966,0.931,36
0.940,0.906,36
0.914,0.881,36
0.888,0.856,36
0.862,0.831,36
0.836,0.806,36
0.810,0.781,36
0.783,0.756,36
0.757,0.731,36
0.731,0.706,36
0.704,0.682,36
0.677,0.658,36
0.650,0.633,36
0.623,0.609,36
0.597,0.584,36
0.570,0.559,36
0.544,0.535,36
0.518,0.510,36
0.491,0.485,36
0.465,0.460,36
0.439,0.435,36
0.413,0.410,36
0.387,0.385,36
0.361,0.360,36
0.335,0.335,36
0.308,0.309,36
0.282,0.284,36
0.256,0.259,36
0.230,0.234,36
0.204,0.210,36
0.177,0.185,36
0.151,0.159,36
0.126,0.134,36
0.100,0.108,36
0.075,0.082,36
0.050,0.056,36
0.025,0.030,36
0.000,0.004,36
1.045,1.067,34
1.019,1.040,34
0.993,1.014,34
0.966,0.988,34
0.940,0.961,34
0.914,0.935,34
0.887,0.909,34
0.861,0.883,34
0.835,0.856,34
0.808,0.830,34
0.782,0.804,34
0.756,0.777,34
0.729,0.751,34
0.703,0.725,34
0.677,0.698,34
0.650,0.672,34
0.624,0.646,34
0.598,0.619,34
0.572,0.593,34
0.545,0.566,34
0.519,0.540,34
0.493,0.514,34
0.466,0.488,34
0.439,0.462,34
0.413,0.436,34
0.386,0.410,34
0.360,0.384,34
0.334,0.357,34
0.307,0.331,34
0.281,0.304,34
0.255,0.277,34
0.230,0.250,34
0.204,0.224,34
0.178,0.197,34
0.152,0.170,34
0.127,0.143,34
0.101,0.116,34
0.076,0.088,34
0.051,0.061,34
0.025,0.034,34
0.000,0.006,34
1.044,1.135,32
1.018,1.108,32
0.991,1.080,32
0.965,1.052,32
0.939,1.024,32
0.912,0.996,32
0.886,0.968,32
0.859,0.941,32
0.833,0.913,32
0.806,0.885,32
0.780,0.857,32
0.755,0.828,32
0.730,0.799,32
0.704,0.770,32
0.679,0.742,32
0.653,0.713,32
0.627,0.685,32
0.600,0.657,32
0.574,0.629,32
0.547,0.602,32
0.521,0.574,32
0.495,0.546,32
0.468,0.518,32
0.442,0.490,32
0.415,0.462,32
0.389,0.434,32
0.363,0.406,32
0.337,0.378,32
0.311,0.350,32
0.284,0.322,32
0.258,0.294,32
0.232,0.266,32
0.206,0.238,32
0.180,0.210,32
0.154,0.181,32
0.128,0.153,32
0.102,0.125,32
0.076,0.097,32
0.050,0.068,32
0.025,0.039,32
0.000,0.010,32
1.044,1.216,30
1.017,1.186,30
0.990,1.157,30
0.964,1.127,30
0.937,1.098,30
0.910,1.068,30
0.884,1.039,30
0.857,1.009,30
0.830,0.980,30
0.804,0.950,30
0.778,0.920,30
0.754,0.888,30
0.731,0.856,30
0.705,0.826,30
0.678,0.796,30
0.652,0.766,30
0.626,0.736,30
0.599,0.707,30
0.573,0.677,30
0.546,0.647,30
0.520,0.617,30
0.494,0.587,30
0.467,0.558,30
0.441,0.528,30
0.415,0.498,30
0.389,0.468,30
0.363,0.438,30
0.337,0.407,30
0.311,0.377,30
0.285,0.347,30
0.259,0.317,30
0.233,0.287,30
0.207,0.256,30
0.181,0.226,30
0.155,0.196,30
0.130,0.166,30
0.104,0.136,30
0.078,0.105,30
0.052,0.075,30
0.027,0.044,30
0.000,0.015,30
